2025-03-13T13:36:04.259Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 10ms, Comparações: 499500, Trocas: 256162
2025-03-13T13:36:07.019Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: bubble-improved, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 7ms, Comparações: 498324, Trocas: 256162
2025-03-13T13:36:09.215Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 4ms, Comparações: 257161, Trocas: 256162
2025-03-13T13:36:11.541Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: selection, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 5ms, Comparações: 499500, Trocas: 993
2025-03-13T13:36:13.925Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 6ms, Comparações: 10551, Trocas: 4209
2025-03-13T13:36:17.341Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: merge, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 2ms, Comparações: 8698, Trocas: 9976
2025-03-13T13:36:21.783Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: tim, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 1ms, Comparações: 12776, Trocas: 7832
2025-03-13T13:36:24.708Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: counting, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 4ms, Comparações: 100917, Trocas: 1000
2025-03-13T13:36:27.746Z - Lendo arquivo: src/data/numbers_1000.txt, Algoritmo: radix, Tamanho do conjunto de dados: 1000, Dados lidos: 48682,77950,78905,13148,61286,55829,53839,4767,855..., Números convertidos: 1000 elementos, Tempo de execução: 1ms, Comparações: 1044, Trocas: 5000
2025-03-13T13:37:03.331Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: bubble, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 27974ms, Comparações: 4999950000, Trocas: 2501456741
2025-03-13T13:37:40.494Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: bubble-improved, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 27755ms, Comparações: 4999942497, Trocas: 2501456741
2025-03-13T13:38:54.807Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: insertion, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 5865ms, Comparações: 2501556740, Trocas: 2501456741
2025-03-13T13:39:04.023Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: selection, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 8012ms, Comparações: 4999950000, Trocas: 99985
2025-03-13T13:39:06.652Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: quick, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 29ms, Comparações: 2109858, Trocas: 981640
2025-03-13T13:39:10.562Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: merge, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 51ms, Comparações: 1536683, Trocas: 1668928
2025-03-13T13:39:16.536Z - Lendo arquivo: src/data/numbers_100000.txt, Algoritmo: tim, Tamanho do conjunto de dados: 100000, Dados lidos: 77109,80586,46409,8313,15921,27515,80388,75103,252..., Números convertidos: 100000 elementos, Tempo de execução: 33ms, Comparações: 1790081, Trocas: 599483
